INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12001, '5OnGmAFXN9sCDblhAYuP', '6JeDKbP0X1rejADYc3a6', 'n9PVlG89aNhCGqoJr8nz', '4Vp1qzmQ0QSMw920RONp', 'bqYT9TbKoaOtSx42M6FA', '5ZF0TnpPVFMtyRA6Yr2u', 'LuD4lgZ3zPVlleMcJw7r', '3QovTDkGLk5KqSDOAVW4', '9BdBT6RDjHGW6d0NlfAr', 'goW0G5lBX7Ybw9SlF6kN');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (92001, 'wTQM3eXfROMPqMudmmtf', '9M8U7kdq01xmX3J8JHzQ', 'mpNYY4IMPog8EM3IORS1', '2gNvDjMvpxBLS6lelWII', 'hzmWRctqzqknYWMa93jr', 'WuKAj4kvt3qYXvgUxuBv', 'zqiNhvPTHQdLGD5k3z20', 'kEHUPYodZnX0SLxR5E1K', '9aDdZ1muML0GPNyDJHBr', 'E1LQD6S1ERW9enzOuHK1');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (612001, '5DfJpZaHsI6KUKpw8zD5', 'vQTqLDBd2gsZM212K74z', 'UgFgTpcBA5mfWXkD8g9W', 'Q292gVizALz9ahOExLau', 'SjWDwHuLH4oPalTU9gUb', 'kd3mkSJTnGkuVH3kIkh5', 'qSBvFTl6851wXOhCHKAx', 'aSvXC3vvJAHWt75tHwGp', 'iVhc3pffI5yp3IbRZRwm', 'ZVV8PhHfK9sMEnPbB3qT');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12005, 'ATJLOcVYYDdFeZXgWZSD', 'ZcxJLcrOmn38CIB12ivQ', 'R6pC44FvyILKav6mYiOK', '14ZJeQQOY2eF553ROyYV', 'qXzGGVSDqj8KzjdPDFLB', 'v7YbvCvazGSXKxY3wD8p', 'WzyH4ePLnNBrbMhUlgio', 'gAXJmdBBOmLczwiNdBxY', 'kFS26DIvAfHX3CIxQGcz', 'q7Qlab8jaBDeOvOamWwQ');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (572001, 'fOp6gQwCcW1MA1lVkC3J', 'gYYKX0ToCgcTEfvi2VW9', '9wqBt3ceKJfCDnnRr43M', 'OyzuF0y9qpQ52ffHcbWd', 'kaSRFEJBloCtPWME0YBt', 'xazt2s1aEOv9mEO2zs5N', 'x1cYIfgRy54lOikiYvB4', '42mhy2X2FpBnHoGK3BFw', 'lLnkNSRzphgs3IaYkinE', 'BkPv5F8Ss0fcz9GWPpjR');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (332001, 'UkbprB8KcynUgHHOTqZm', 'HWeVFh5b0ejyK4kv8Nfz', 'ER4Lx50gAMiRej3b73WV', 'WOx4mbG5fPTmMzHuKdi5', 'EirUMrsDbnkK1WvkNNWn', '7MJUoS9j745ZvXBVkydK', '2zGlnjW7Lcg0ndVNhDWh', '4IFl0HiNj97RXMiqEPPb', '4faPjPKwNUH2OZ7TMG8p', 'BPgGXRhUrunXzR8FiVjz');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (132001, 'sc85dniHSAji6KaYKGJf', '3dXlDQTZ4Q1vBngULFdH', 'GxrWqDhyAMoqiB36uoxb', 'NVEPkSJ4uxfW8T1pZ2p7', 'AA5WWanwiMiHgZTF31KL', 'ht09WLYp4DfGcjKzCGep', 'V8QtVnE4ap7eewykuTBt', 'BIIXZAFDOqL4pcVL8xe8', 'BJv3NxND2lUyNQok0JCs', 'GQ6UhO1YlbItuu5KyFsQ');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12006, 'PSN26iL2FJElOWPBCk1K', 'HDYz5IpmKHhAAqEIvH2a', 'U9dAcKKcBSyOWm6RK0ln', 'oIj1vlf7BVpbbQcVwo2m', '1ykcsJ6NaNZjA3ZrV0PD', '66ogmr4DtqjjFEs7TFod', 'FsC4X015HI8kmbz9Waha', 'WKLHQ6OKRVQdBBdjKJkJ', 'i1JNulxTEAqn2cBeN5MO', '6VLZPP7lspOezYLyolf4');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (212002, 'nA6JFwEmD3mBCsbJ7IIP', 'fr6ms8o7wzSVOM89kJTz', 'xVCWP97C3oghaeuOjmX4', '9idXdUh76SnrXi6rIroR', 'PbcRtDKTR3sxK9xmhlem', 'ulOcM2sQSugruaQtVaeH', '2JB7nMPooifZ4InQTBCy', 'sFh6zEebJo19b3PzG7QT', 'Imebl5K9Z89cxL4uaN5k', 'IlSmtyoIe7Ep7JYeyC9H');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12007, 'fILePw3x47Y9njFNd3f5', 'hN0nz9rFYc7ff8TGyGUa', 'zbXPb0x7vuRLgFJFhiZW', 'LhKxoTfuJyjJ0s71tRaj', 'E8TD6UDclwdMlYlfsopq', 'qcMLDqisulaKzoEmHpNM', 'Cp0jfI8Ib4Y2ALU4gIjz', 'HddFftIuBGQxU6NSe55d', 'u3oXo0o1y1Npfsiv3kTI', '5EE0ZD32AxEaOOXBMF4W');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12008, 'OXFzwjuhejBXkNFbftKJ', 'X3yp5lQjPXOh2IyA7229', 'bRDVtqi55F1zZAEkG6na', '3Ajz2eYuiQooRYvhtJAj', 'fWE2Iml1YtxQ1HvEfQ4o', 'ERqvfXDH4ggojjvgEH0f', 'jjK0u4iHmpPjF2NbQ9Jy', '5wG8GH1flUz8iStKYit0', 'LAJBak4QaMJ7wMRBhQm0', 'bGGv5FIHUBmKAlQUVS1N');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (1132001, 'Syf5eIUfpJ9PJAQUWZqP', 'WLJfS16d2G3CPNiQ3FJn', 'vkij4JEUh5cshNbQOzRp', 'HUgeVlCPICcj6sZOuPlQ', 'jzZAoJf5irmueCBWGdCU', 'Pyh8uhGUxw0zozO3le8N', 't3ZduNsOKLCMPqKQK5Iu', 'xfT0Y3qB9p2qms8oZcZZ', 'UDWZy7UWCcR7U0VEW2ol', 'fPyrbdQHK10zJ8kk6gpF');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (16372001, 'ICubF8ulFoaBcWmfqI9D', 'jkDiXekmdWi8oKWEOD0Q', 'gcRRlxhASWZBVX1jxHjR', 'LAqGsMMrWtiH0b9aSJkk', 'dIUa3jbIzOCaygRz1cvz', 'kqbm9CBmIYZwse141pIH', 'qqm5c9M5gZDn7HCwum7x', '6eNxQnVYs0EXW80uxGRZ', 'Es2Z4MUBFEUwvEwDooAX', 'gLWyK9N8mQEWybCaI15e');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (92002, 'q1srtH7WoyKwZ9dISLCC', 't5gL7Lu06SN28V8PCuVw', 'f1gh5b2ngANq9QUgRPrx', 'YL9xtokRoZmfGbXIQBgj', 'sFuwTW5ZnxCcoeGhH0V7', 'XkulNzJxodCZoXikqlu7', '2BEazHbB9toj7aELpXrG', 'qNmCyN0c40ey3UuhmWim', 'zX6bFWyDV2VtEFNdic11', 'jDFSu4XExCgswbJRUnIq');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12009, 'egJ6xdechSwe66Heucp3', 'rvUd49esI1O04bpHH1iQ', 'dzCq86WGzM5WkPG99L0z', 'We7l6ZqizWmTvK7IxTHo', 'Mzelck6CnJMBK47AaQIO', 'AF5ctSzXPu5jDgP788r3', 'PDbo7jEPB4ZvAFWdeiID', 'qiFWvjVMwrSIsgpWzbGI', 'Ya0ITvM5JFWXD6jqVCvC', 'OW0sWv5X0C4OyktJx7EH');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (52003, 'qvhjUW8kzBgNGBXT4pzV', 'xhCYbD2oVnr4FcYXbdcS', 'uAYEo23VsgH83R13dNhO', 'FWqm371NbCoodNUFZvNN', 'P0rZzi2UlixDsxff1QIz', 'GAofN93YWpbKOTH4ziqT', 'T0wqyfLFTTrRsF5Nv4EX', 'S0FNEdyVb6Eiun3Ve6QR', 'jTTbbTXlxdeddHxVCt4Z', 'vKkmpmmy7n3KS4VMGzP8');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (172003, 'HyNPHGMagXhg7LBqJMwA', 'xViCCYWV2VIyhiww7gNG', 'TaJy6Vij1gfK1i5UWTSr', 'nZ6jjxs2auSLD4nxYdo9', 'bNaOCXNd32ygODqq9xu9', 'rbz9NExnzhMjQRuBptXf', 'm0FcORfAcyyMRjvKAb18', 'WBQYwNkJ4f9ECHeCypoU', 'a37bSNO7P3cdFBEoiIQP', 'WRpWanNFOEBU56kln2ZX');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (972001, 'znXMSvZXbbMx7ibZ2q8c', 'KFnpVnXgeULQ7YV5rXXF', 'dP6VboWVwVegw5BMbJj5', 'McwDVsN8e2fG0GYWov6z', 'h9oQgmznUI0Wwc6Nx2pB', '2WIfIjjFSSQ11HQlD4w8', 'e512ldjmClbUunNkiYkR', 'dh2ZsRbUKBe3xEItT26L', 'GE0FoZGjUOPGPcvfEFMg', 'eM15KHI3xsIZ622b5IoO');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (452001, 'EQIaeGB5dhc1L1H4o9xk', 'bbKyO1Q9KRwbQW4GgZgC', '1ZNoYOnAcXkCWOyle6Qn', 'wW2CyQgKmcdSQp9V274w', 'BVLwtCeE6KZqTdYX0NyX', 'K9F45PlaYTiF3c4EPzkg', 'fDFG27lagmzaD5lO4g3Z', 'ynqb8M286FKYDqTaBzkB', 'ydJYExYyx9Qmvdxr1STX', 'njGz8JlXB1TgInpfg4QX');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (772001, '08n5zCINXGVkTIQvIcHL', 'Urn6UPpwFTA72MQ39uL5', '5FS4UupbyGV3vFObzArY', 'JI3maW4Z87DNd4HDREHW', '2lBeGwlWcDOQQPNOyfQ5', 'JFVHW3QDCkpEMn6IYDih', 'ZYrfD5hAua71s2ByVKYP', '4JO1L8TXXL7lz1qu3nkm', 'lGjHUDtpwNOg51LuOjzm', 'Rxz2Dp6HaVEtGszvQx9B');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12010, 'Bkkr25KLsjEPYOHvju75', 'hWXK7NIDsjQwGhzbpMS9', 'JUM5S38ZPP2taf3DdIVf', 'G6baRvb9vcckz3IFSao5', 'udT7Uv7YUUJ4kHqVHdi0', 'Q031hO4Aq9wIS2Ad2os8', '3JDdSxBIFQ84AzU8zKr9', 'Q9XrnwAOGgTcaRFJ5brq', 'rqkvSsGeBDybVDgYWO6P', 'stuu6cFB7GerpQGO7jZ6');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12011, 'UcmJlIuFDj2zQ0BnUaba', 'y1XDUZEVt2bt7hhO9vmW', 'Ho2q1pzjSj3m5KCIhD2x', '5bLIrLnommQzorP70Jk4', 'YXDD2t832udNVI0MwQOF', 'wgGQi6jbdJziW0HX8StO', 'GIqtIupadViHa8GUMm97', 'WNu6IbTmsotnfBtyvjQV', 'EHON6ojtOumjV1BUqS3S', '6ROhjPLpzKankJcZ7yW3');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (52004, 'ntm33d7RBP5t7xAcFxEh', '98PM208wQJ4dsGZZqlWN', 'wHzuWTv0GBRC5PR0BdoH', 'rMlwd1sy8ZrQ6AmfIC3o', '9hB5FzpiqFDyeFaka0Zb', '1UbHlbnsxZZIRGdlyFpw', 'CGTjLH8fKETDRXDcEOmw', 'q7A8b5mFvpGFfq2q5MNm', '0Kf0BELXArhQm7gLTDgm', 'zgUWELPpElQx35hSLNKB');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (1252001, 'IWEOoiHz0ENUlysqOxXA', 'z3Ta3brmP3SHknvgYuCU', 'Fhrpks3VZIckyhGsiBo1', 'lOa0hejQzN9aV9oK1RwB', 'MlhJde4CTI16Ra8Vr8XS', 'ugIunoDFm0V6npPQJ7dz', 'qQl2V2RC8bsmDHUd0SJi', 'Sm0EBd7uJPu4wfpJlBCJ', 'GOxD4OcDnCs93wLae4nK', 'gVYnpL5JXE2tGYeBghIO');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (11972001, 'tI1VvVuEpxLRgjRROZBE', '9KWTkgio86cXQO80voYv', 'V7FDISdiLbtwmnMwLkul', 'jTvZ7Gz9U9SRU0ACXwTm', 'NuE8TsqYaYZ212iX4yK9', 'mOBYD5e4U2Xoaamyfw4u', '4IubSBvHpog89HBO8kYB', 'rzK2PqsZhKxUaAyn0XTM', 'RH8Ey2l1KCsNTQ2Twhta', 'JuzXKQZRa6ZVlOLZSTei');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (1532001, '8iwtG5FI2Eg4TjxsywZN', 'CrcgVAXSfKW3JPjKpYTV', 'EkP1Y2B7xyzyLohR7Bdw', '6EQ4vuc4TaMa9otRpHAS', '2q6pikCvZA3i6Uf8dndU', 'Dr8Neympx7RLoaKRlDnX', 'WOF9UGOX0l2BnT8HAFMk', '2MbxYlh1HnC9q7N730D6', 'DEJjFNeXOpp5MeQvsu30', '9bMVn57jg0t3O46pE7nt');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12012, '74TEhZnm0lqsfjdspLl8', 'WtYTIRwuFZdEOF7F9nHd', 'MKJBD7CPeZltilCuxu7n', 'Yd9MV0cpW2RAWbQi6emg', 'sFEL1jUaHq2wiB7cJTcF', 'IkPdzuO2EoKhau8IkrJj', '7U7fVHne4NrGGgViLlYg', 'ToGtdCObygVNwZ00e26X', 'aXLoYcYRFBEBDlJLXNTn', 'wian5JEx2z5SzBCfuX07');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (292001, 'VmZjehvR8PTagake6vVc', 'Gx1x3dzrsl1q3nF0z9JF', 'hbzewnp45FMt2EK5Mmko', 'n43O6dKdyJKkL9xlrlDJ', '0loiyZ2wzsMI9XhiKaR5', 'ugtwLTRfE8w6wYj7CxpF', '4BvmgymkndnnQA3BmSSS', 'PBhhHHywXHxoRgSnqXtV', 'ROS4saH5IcxPWCLMB16D', 'KyPBMmcxXN3LgHLi1DVj');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (812001, 'MA3nYwYQbu16nrxztlkG', 'eCadcw20ZqSFjZ2KJjPY', 'smU2m4v1EUoUohMmkySJ', 'lVAnk84naf0YsrRbEAvt', 'tjSqPFsDN59URh2F2WeE', '21nOShKxPU6YFSxlzYUk', 'RFeKb2UhhSD4ZMXhKqhK', 'zqTMcq1Op18hbmlZQPIp', 'EPsWlBBixzA15yQkQyzk', 'VYj4FmRXYPo7YsOMvyWY');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (212003, 'lXrygYRCQzi8gSwbeTLV', 'Wy9gYRu91s65PKDqgBzf', 'vtKBYehe47rMFWmEOcAH', 'gAoPhfjqL9iMKtOY4tPn', 'LCPR7vzNukHOlWEk0hfN', 'QVPj1FQemeZ5pbh99bYf', 'BLkVcjsy4cFuUXD4Rpa9', 'uGPRTb1IL1IWGoZcjwgl', '7uC1vpPOMt7byuPI4vgS', 'UUK3NHypklIHdukUEavF');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (92003, 'KBxw585mWIrMPVDBRXZP', '2iUnq1e5hCUR8qVlJXVZ', '0Y3Qsp0uonTYudmVIbAn', 'jN6SikpCe8K4BX7Dl0nz', '3hAPo7Y0mBCto7k50EpV', '3xCvnhjzgcu4uwAE46AT', '2iZQH80zkbZ4kwg9m9jc', 'JVaDCXeluRR674IZ9Co0', 'L53anh5Bz9ari9g1PJxy', 'cAQVpqMEihbUiVWEgMnD');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (132002, 'EFiwhz8TNzHCc3qIxmqD', 'xbPJyGF2Q8lnATWRWgKR', 'go1b3BT8uqt0CHsVaalO', '5pgPWKV6gmfyAgdAY9SR', 'NklINXv4MjS2kRqMGYjo', 'SEly9wVMsNoVlOdV4mQZ', '7MEa6aC8qRXxES3Vppzw', '4OdVwKOPzXBvKEbiFEqV', 'dnmt2hW6udFi0gptgRkX', 'w5kRZtGqpPeRo0ehJytF');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12013, 'fcKrkCe1jxYjmROjLzre', 'awz8ZHd9lVmuXQqzOfXp', 'ENL9HDWfNorVJTyoZUK4', '5aSczk78zPjfsnSx7LYe', 'Hnyvk8BLjUc8xO7mzRdR', 'y89cQr1Ud8eU5DVG5fuY', 'UzXlS27SVprbHTiweRwN', 'lcDiJevKGVG79uUAXGuM', '3CXESORFeUuYTKxEcf4Y', '8JGP9c4RpUJuyUdTyjbG');
INSERT INTO usertable_small (YCSB_KEY, FIELD1, FIELD2, FIELD3, FIELD4, FIELD5, FIELD6, FIELD7, FIELD8, FIELD9, FIELD10) VALUES (12014, 'Y5xPBqaYPOF6rptWMVO8', 'm5sKswZmOrwiIOOjvleq', 'Rk3bDvwyhMF9HcDRJD15', 'vWsISJQTBy24btZTxtP5', 'xNkFT9nFckwgJV5u4zA5', 'G5Ppdy79C4RL9bHQrqdo', 'xL70nkUFgUYmfe10Nloi', 'd4qv5BRaCebxgCukMfzh', 'WsQLSa9GBVyINV3YenNw', '3aXDfR70ugerSw5BaITh');
